id_poslanec	voter_id	group_id	term
1070	5770	153	5
1071	5771	153	5
1072	5430	153	5
1073	5774	153	5
1074	5775	153	5
1075	5819	151	5
1076	5021	153	5
1077	5865	153	5
1078	5284	153	5
1079	5866	153	5
1080	5867	155	5
1081	5868	155	5
1082	333	151	5
1083	5883	155	5
1084	5886	153	5
1085	5888	155	5
1086	5889	153	5
1087	5316	153	5
1088	5768	154	6
1089	5890	949	6
1090	5891	153	6
1091	5892	949	6
1092	5444	153	6
1093	5893	949	6
1094	345	155	6
1095	5894	155	6
1096	5379	155	6
1097	312	154	6
1098	5895	155	6
1099	4	155	6
1100	346	155	6
1101	5896	948	6
1102	5897	948	6
1103	5445	155	6
1104	5447	153	6
1105	5342	153	6
1106	5270	154	6
1107	5898	948	6
1108	5383	153	6
1109	5899	155	6
1110	5900	948	6
1111	5901	948	6
1112	5902	155	6
1113	5903	155	6
1114	5307	154	6
1115	354	153	6
1116	5453	155	6
1117	5904	949	6
1118	356	155	6
1119	5261	154	6
1120	5456	153	6
1121	5905	948	6
1122	5906	949	6
1123	5907	155	6
1124	5908	948	6
1125	211	153	6
1126	5909	948	6
1127	5459	155	6
1128	303	154	6
1129	5460	155	6
1130	5990	155	6
1131	5910	155	6
1132	5911	153	6
1133	5912	949	6
1134	5913	155	6
1135	1296	155	6
1136	5914	948	6
1137	305	154	6
1138	5915	948	6
1139	4778	154	6
1140	5461	154	6
1141	5462	153	6
1142	5916	948	6
1143	5297	153	6
1144	5917	948	6
1145	366	154	6
1146	5918	153	6
1147	5919	948	6
1148	261	155	6
1149	5920	154	6
1150	216	153	6
1151	5921	949	6
1152	5819	948	6
1153	5922	948	6
1154	5923	949	6
1155	5924	155	6
1156	5925	948	6
1157	5926	153	6
1158	5927	153	6
1159	5402	153	6
1160	5928	948	6
1161	5766	155	6
1162	5929	948	6
1163	5930	948	6
1164	5931	155	6
1165	5932	949	6
1166	5933	949	6
1167	377	948	6
14	5934	154	6
15	5935	949	6
16	68	153	6
17	5936	949	6
1172	5937	155	6
1173	5938	154	6
1174	5321	154	6
1175	5313	154	6
1176	5939	948	6
1177	5433	153	6
1178	5940	948	6
1179	5941	948	6
1180	309	154	6
1181	5279	153	6
1182	5472	153	6
1183	5473	155	6
1184	386	153	6
1185	5942	948	6
1186	5943	948	6
1187	5475	153	6
1188	5476	948	6
1189	5477	153	6
1190	5274	154	6
1191	392	948	6
1192	5944	948	6
1193	5290	154	6
1194	5945	155	6
1195	5300	155	6
1196	5317	153	6
1197	5946	949	6
1198	111	155	6
1199	5947	154	6
1200	5948	154	6
1201	401	155	6
1202	5949	155	6
1203	5950	153	6
1204	5485	153	6
1205	5991	153	6
1206	5992	949	6
1207	5486	153	6
1208	5951	948	6
1209	5322	154	6
1210	122	153	6
1211	5952	949	6
1212	5953	155	6
1213	269	155	6
1214	340	948	6
