vote_event_id	is_eu
32635	0
32647	0
32723	0
32734	0
32749	0
32762	0
32767	0
32770	0
32778	0
32781	0
32782	0
32826	0
32853	0
32872	0
32875	0
32878	0
32898	0
32922	0
32926	0
32984	0
32995	0
32998	0
33001	0
33004	0
33230	0
33239	0
33280	0
33366	0
33373	0
33391	0
33398	0
33510	0
33514	0
33521	0
33522	0
33546	0
33643	0
33672	0
33678	0
33739	0
33750	0
34128	0
34129	0
34130	0
34166	0
34169	0
34201	0
34204	0
34231	0
34241	0
34245	0
34262	0
34332	0
34383	0
34387	0
34460	0
34477	0
34507	0
34509	0
34515	0
34522	0
34562	0
34569	0
34627	0
34631	0
34633	0
34635	0
34647	0
34660	0
34742	0
34755	0
34758	0
34944	0
34956	0
34957	0
34980	0
34991	0
35001	0
35029	0
35128	0
35132	0
35139	0
35143	0
35145	0
35148	0
35167	0
35190	0
35203	0
35253	0
35259	0
35263	0
35271	0
35273	0
35274	0
35354	0
35356	0
35361	0
35375	0
35380	0
35382	0
35385	0
35389	0
35407	0
35427	0
35523	0
35629	0
35667	0
35702	0
35704	0
35705	0
35771	0
35776	0
35788	0
35806	0
35810	0
35812	0
35816	0
35858	0
35865	0
35877	0
35886	0
35897	0
35923	0
35929	0
35964	0
35965	0
35968	0
36006	0
36023	0
36052	0
36100	0
36103	0
36105	0
36111	0
36155	0
36157	0
36161	0
36166	0
36170	0
36177	0
36186	0
36203	0
36205	0
36244	0
36261	0
36264	0
36266	0
36272	0
36281	0
36366	0
36386	0
36474	0
36503	0
36504	0
36507	0
36509	0
36511	0
36513	0
36515	0
36521	0
36537	0
36538	0
36540	0
36543	0
36593	0
36597	0
36603	0
36670	0
37045	0
37060	0
37062	0
37064	0
37070	0
37073	0
37089	0
37132	0
37158	0
37166	0
37268	0
37269	0
37277	0
37322	0
37324	0
37336	0
37346	0
37396	0
37397	0
37406	0
37416	0
37418	0
37435	0
37445	0
37448	0
37451	0
37452	0
37456	0
37459	0
37463	0
37482	0
37819	0
37834	0
37840	0
37845	0
37992	0
37994	0
38006	0
38007	0
38008	0
38045	0
38047	0
38056	0
38057	0
38060	0
38097	0
38173	0
38181	0
38197	0
38209	0
38211	0
38217	0
38255	0
38258	0
38260	0
38264	0
38267	0
38275	0
38293	0
38296	0
38326	0
38395	0
38453	0
38459	0
38543	0
38548	0
38571	0
38589	0
38590	0
38638	0
38644	0
38645	0
38658	0
38685	0
38693	0
38703	0
38726	0
38734	0
38742	0
38756	0
38757	0
38792	0
38795	0
38799	0
38801	0
38803	0
38805	0
38806	0
38807	0
38808	0
38810	0
38811	0
38843	0
38853	0
38871	0
38878	0
38893	0
38899	0
38905	0
38911	0
38913	0
38914	0
38916	0
38919	0
38920	0
38926	0
38928	0
38931	0
38932	0
38949	0
38959	0
39041	0
39047	0
39064	0
39080	0
39081	0
39082	0
39083	0
39130	0
39131	0
39132	0
39142	0
39153	0
39176	0
39324	0
39346	0
39360	0
39364	0
39395	0
39413	0
39435	0
39436	0
39450	0
39453	0
39522	0
39542	0
39571	0
39577	0
39609	0
39614	0
39623	0
39631	0
39660	0
39681	0
39708	0
39720	0
39723	0
39728	0
39751	0
39775	0
39776	0
39819	0
39864	0
39870	0
39872	0
39874	0
39877	0
39881	0
39882	0
39884	0
39885	0
39886	0
39888	0
39890	0
39891	0
39893	0
39896	0
39898	0
39956	0
39958	0
39959	0
39964	0
39992	0
40040	0
40064	0
40085	0
40111	0
40118	0
40124	0
40156	0
40179	0
40230	0
40248	0
40253	0
40255	0
40258	0
40323	0
40332	0
40338	0
40349	0
40371	0
40383	0
40391	0
40423	0
40434	0
40456	0
40459	0
40495	0
40617	0
40625	0
40627	0
40636	0
40637	0
40640	0
40650	0
40658	0
40659	0
40663	0
40666	0
40676	0
40678	0
40725	0
40783	0
41178	0
41298	0
41300	0
41308	0
41315	0
41429	0
41472	0
41495	0
41519	0
41533	0
41549	0
41551	0
41576	0
41593	0
41595	0
41597	0
41684	0
41705	0
41721	0
41742	0
41743	0
41750	0
41834	0
41865	0
41947	0
41968	0
42036	0
42042	0
42049	0
42131	0
42195	0
42196	0
42234	0
42284	0
42309	0
42313	0
42316	0
42327	0
42336	0
42338	0
42363	0
42394	0
42400	0
42405	0
42406	0
42430	0
42432	0
42433	0
42646	0
42694	0
42728	0
42763	0
42771	0
42773	0
42780	0
42788	0
42844	0
42858	0
42953	0
42992	0
42994	0
43002	0
43003	0
43004	0
43006	0
43009	0
43011	0
43024	0
43027	0
43029	0
43061	0
43064	0
43070	0
43089	0
43090	0
43092	0
43094	0
43097	0
43099	0
43101	0
43102	0
43104	0
43108	0
43109	0
43110	0
43112	0
43114	0
43115	0
43116	0
43119	0
43124	0
43125	0
43152	0
43163	0
43199	0
43223	0
43238	0
43263	0
43270	0
43279	0
43284	0
43286	0
43290	0
43298	0
43306	0
43332	0
43343	0
43344	0
43345	0
43346	0
43350	0
43352	0
43379	0
43432	0
43441	0
43484	0
43487	0
43493	0
43495	0
43497	0
43548	0
43549	0
43568	0
43569	0
43570	0
43575	0
43576	0
43577	0
43582	0
43585	0
43586	0
43598	0
43600	0
43619	0
43620	0
43644	0
43648	0
43653	0
43672	0
43674	0
43676	0
43685	0
43697	0
43715	0
43722	0
43965	0
43981	0
43983	0
43995	0
44022	0
44095	0
44106	0
44155	0
44162	0
44163	0
44165	0
44168	0
44198	0
44211	0
44247	0
44264	0
44281	0
44319	0
44330	0
44332	0
44790	0
44798	0
44801	0
44883	0
44884	0
44885	0
44901	0
44903	0
44914	0
44915	0
44932	0
45019	0
45029	0
45033	0
45082	0
45086	0
45101	0
45102	0
45150	0
45155	0
45166	0
45173	0
45191	0
45192	0
45225	0
45233	0
45319	0
45329	0
45353	0
45355	0
45363	0
45367	0
45372	0
45377	0
45380	0
45448	0
45475	0
45507	0
45509	0
45519	0
45521	0
45585	0
45587	0
45593	0
45596	0
45608	0
45638	0
45664	0
45669	0
45671	0
45683	0
45694	0
45695	0
45696	0
45700	0
45727	0
45856	0
45860	0
45869	0
45898	0
45900	0
45904	0
45908	0
45909	0
45914	0
45918	0
45927	0
45928	0
45978	0
46117	0
46119	0
46120	0
46207	0
46210	0
46216	0
46241	0
46452	0
46454	0
46455	0
46461	0
46464	0
46466	0
46535	0
46536	0
46537	0
46554	0
46557	0
46561	0
46607	0
46639	0
46659	0
46668	0
46687	0
46691	0
46708	0
46709	0
46712	0
46746	0
46750	0
46753	0
46762	0
46763	0
46767	0
46769	0
46772	0
46819	0
46872	0
46883	0
46893	0
46894	0
46897	0
46901	0
46924	0
46932	0
46979	0
47006	0
47007	0
47014	0
47052	0
47127	0
47132	0
47151	0
47155	0
47168	0
47193	0
47194	0
47230	0
47267	0
47271	0
47307	0
47311	0
47312	0
47314	0
47325	0
47426	0
47439	0
47520	0
47529	0
47546	0
47561	0
47563	0
47566	0
47569	0
47570	0
47583	0
47588	0
47592	0
47619	0
47641	0
47651	0
47654	0
47725	0
47778	0
47786	0
47792	0
47793	0
47797	0
47799	0
47820	0
47843	0
47844	0
47846	0
47902	0
47907	0
47917	0
47918	0
47919	0
47921	0
47965	0
48060	0
48073	0
48123	0
48137	0
48141	0
48144	0
48154	0
48156	0
48164	0
48184	0
48525	0
48531	0
48578	0
48710	0
48814	0
48895	0
48897	0
48915	0
48952	0
48978	0
48984	0
48997	0
49041	0
49065	0
49069	0
49156	0
49177	0
49257	0
49276	0
49280	0
49283	0
49331	0
49500	0
49589	0
49596	0
49653	0
49667	0
49683	0
49696	0
49701	0
49717	0
49735	0
49744	0
49747	0
49765	0
49775	0
49788	0
49791	0
49796	0
49899	0
49920	0
49933	0
49942	0
49945	0
49959	0
49962	0
49965	0
49970	0
49972	0
49975	0
49983	0
49985	0
50012	0
50078	0
50105	0
50160	0
50174	0
50207	0
50215	0
50221	0
50265	0
50295	0
50303	0
50309	0
50319	0
50388	0
50415	0
50419	0
50422	0
50423	0
50424	0
50427	0
50438	0
50445	0
50447	0
50449	0
50451	0
50472	0
50506	0
50508	0
50509	0
50512	0
50515	0
50517	0
50521	0
50523	0
50662	0
50666	0
50668	0
50670	0
50672	0
50697	0
50698	0
50713	0
50731	0
50740	0
50741	0
50744	0
50836	0
50869	0
50884	0
50890	0
50891	0
50892	0
50898	0
50985	0
51027	0
51029	0
51033	0
51551	0
51571	0
51627	0
51629	0
51647	0
51659	0
51661	0
51696	0
51697	0
51752	0
51811	0
51812	0
51814	0
51818	0
51860	0
51862	0
51906	0
51913	0
51946	0
51968	0
51975	0
52046	0
52062	0
52067	0
52077	0
52083	0
52105	0
52113	0
52115	0
52150	0
52151	0
52155	0
52182	0
52185	0
52188	0
52190	0
52224	0
52230	0
52235	0
52283	0
52320	0
52325	0
52326	0
52334	0
52343	0
52348	0
52357	0
52360	0
52506	0
52515	0
52608	0
52627	0
52654	0
52683	0
52733	0
52743	0
52749	0
52751	0
52769	0
52781	0
52798	0
52808	0
52838	0
52911	0
52918	0
52919	0
52932	0
52934	0
52936	0
52937	0
52940	0
53039	0
53049	0
53115	0
53117	0
53119	0
53121	0
53142	0
53148	0
53172	0
53182	0
53251	0
53284	0
53296	0
53314	0
53315	0
53316	0
53317	0
53321	0
53322	0
53323	0
53351	0
53354	0
53379	0
53387	0
53390	0
53396	0
53423	0
53533	0
53553	0
53556	0
53558	0
53666	0
53684	0
53693	0
53707	0
53729	0
53788	0
53805	0
53844	0
53935	0
53937	0
53938	0
53940	0
53943	0
53946	0
53969	0
54000	0
54015	0
54079	0
54082	0
54088	0
54142	0
54150	0
54159	0
54166	0
54168	0
54169	0
54171	0
54172	0
54175	0
54213	0
54230	0
54250	0
54272	0
54306	0
54316	0
54321	0
54452	0
54457	0
54459	0
54460	0
54478	0
54498	0
54504	0
54513	0
54516	0
54528	0
54529	0
54573	0
54574	0
54575	0
54576	0
54583	0
54821	0
54849	0
54899	0
54901	0
54904	0
54905	0
54906	0
54910	0
54911	0
54985	0
55029	0
55033	0
55037	0
55044	0
55096	0
